903 | INFO  | qtp533881159-636 | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
650 | INFO  | qtp533881159-58  | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
179 | INFO  | qtp533881159-52  | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
619 | INFO  | qtp533881159-53  | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
153 | INFO  | qtp533881159-52  | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
491 | INFO  | qtp533881159-54  | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
990 | INFO  | qtp533881159-58  | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
598 | INFO  | qtp533881159-52  | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
169 | INFO  | qtp533881159-636 | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
225 | INFO  | qtp533881159-56  | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
683 | INFO  | qtp533881159-54  | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
190 | INFO  | qtp533881159-53  | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
622 | INFO  | qtp533881159-52  | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
698 | INFO  | qtp533881159-636 | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
981 | INFO  | qtp533881159-58  | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
785 | INFO  | qtp533881159-52  | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
964 | INFO  | qtp533881159-54  | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
868 | INFO  | qtp533881159-58  | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
058 | INFO  | qtp533881159-52  | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
220 | INFO  | qtp533881159-636 | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
415 | INFO  | qtp533881159-58  | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
528 | INFO  | qtp533881159-636 | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
678 | INFO  | qtp533881159-52  | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
867 | INFO  | qtp533881159-58  | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
111 | INFO  | qtp533881159-636 | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
261 | INFO  | qtp533881159-52  | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
398 | INFO  | qtp533881159-636 | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
496 | INFO  | qtp533881159-58  | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
667 | INFO  | qtp533881159-52  | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
779 | INFO  | qtp533881159-636 | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
951 | INFO  | qtp533881159-58  | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
117 | INFO  | qtp533881159-636 | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
302 | INFO  | qtp533881159-54  | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
686 | INFO  | qtp533881159-53  | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
765 | INFO  | qtp533881159-52  | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
651 | INFO  | qtp533881159-56  | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
920 | INFO  | qtp533881159-636 | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
998 | INFO  | qtp533881159-52  | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
476 | INFO  | qtp533881159-636 | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
609 | INFO  | qtp533881159-58  | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
804 | INFO  | qtp533881159-636 | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
214 | INFO  | qtp533881159-56  | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
988 | INFO  | qtp533881159-58  | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
410 | INFO  | qtp533881159-636 | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
803 | INFO  | qtp533881159-54  | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
226 | INFO  | qtp533881159-54  | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
699 | INFO  | qtp533881159-58  | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
107 | INFO  | qtp533881159-636 | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
544 | INFO  | qtp533881159-56  | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
962 | INFO  | qtp533881159-58  | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
999 | INFO  | qtp533881159-52  | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
377 | INFO  | qtp533881159-54  | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
056 | INFO  | qtp533881159-56  | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
703 | INFO  | qtp533881159-52  | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
957 | INFO  | qtp533881159-58  | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
029 | INFO  | qtp533881159-53  | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
755 | INFO  | qtp533881159-52  | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
220 | INFO  | qtp533881159-54  | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
956 | INFO  | qtp533881159-636 | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
233 | INFO  | qtp533881159-52  | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
